iter	likelihood	#indels	#substs	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	f:pi[A]	f:pi[C]	f:pi[D]	f:pi[E]	f:pi[F]	f:pi[G]	f:pi[H]	f:pi[I]	f:pi[K]	f:pi[L]	f:pi[M]	f:pi[N]	f:pi[P]	f:pi[Q]	f:pi[R]	f:pi[S]	f:pi[T]	f:pi[V]	f:pi[W]	f:pi[Y]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
0	-3.406532144544319E4	15	4097	15	4097	-3.406532144544319E4	-2.4677312354592152E2	400	51	8.157065706451623E-3	3.993118649633911E-2	1.63739086878457E-1	3.4963417848664795E-2	1.833790771775624E-1	1.2931112904402775E-1	1.0451550558476207E-2	1.0298303227323509E-2	4.5601762917560115E-2	6.265810855113823E-4	3.257789195064201E-2	2.357602688707465E-2	3.379335629000827E-2	2.2669869319754753E-2	2.0388070876460974E-2	1.1819595622597064E-1	2.909471694413012E-2	6.667374360677282E-4	8.512045704763271E-2	7.457756081884515E-3	9.565975953098649E-2	-2.4677312354592152E2	1.2640866385798144E0	7.272649735465494E-1	1.2640866385798144E0	7.272649735465494E-1	400	5.753284239786147E-1	51	-3.431046692841192E4	-2.451454829687364E2
1	-1.2329153298406207E4	313	828	313	828	-1.2329153298406207E4	-2.624997062887353E3	1422	2074	1.361741523327481E-1	2.0800908540619088E-2	8.529478008362017E-2	1.8326668505709454E-2	9.55256216336901E-2	6.736060719797579E-2	5.444409904886031E-3	5.364580478337599E-3	3.443893991608803E-2	3.3668485968826734E-1	1.6970438656352026E-2	1.2281197281081957E-2	1.7603596966332614E-2	1.1809162705226337E-2	1.0620530838967308E-2	6.157050393563526E-2	1.5155987068541918E-2	3.473161116693382E-4	4.434085228461295E-2	3.884885869638452E-3	1.2260500891722852E-1	-2.624997062887353E3	5.7181817693436074E1	3.3209600582254717E2	5.7181817693436074E1	3.3209600582254717E2	1422	5.80772034220711E0	2074	-1.5138001937905618E4	-2.8088486394994097E3
2	-6.061454039524502E3	194	604	194	604	-6.061454039524502E3	-1.5558734790812396E3	536	323	1.5135995513131012E-1	2.312057412852671E-2	9.480664182762807E-2	2.0370412998440123E-2	1.061784013829231E-1	7.48724945846532E-2	6.051556957052804E-3	5.962825151394095E-3	3.8279484844756316E-2	2.1392444182317719E-1	2.5922013379645437E-2	5.538085535180194E-2	1.956670631929463E-2	1.3126091160337958E-2	1.1804906024520185E-2	6.84366934066733E-2	1.684614505298846E-2	3.8604794065613424E-4	4.9285633854238106E-2	4.318118679981874E-3	1.8444334747063842E-1	-1.5558734790812396E3	2.7503551055550326E0	1.4159295740072972E0	2.7503551055550326E0	1.4159295740072972E0	536	5.148170035016467E-1	323	-7.689332743689393E3	-1.6278787041648911E3
3	-4.91311719062074E3	178	503	178	503	-4.91311719062074E3	-1.4325916621581594E3	495	237	1.3816900102341267E-1	2.072022251243394E-2	8.654428432106577E-2	9.83308700599172E-2	9.692499998836675E-2	6.834738932049567E-2	5.524166406278926E-3	5.44316753880284E-3	3.494344442757279E-2	1.952810199735933E-1	2.3662921213698604E-2	5.05544379498678E-2	2.566071445220736E-2	1.1982158037723815E-2	1.0776113610553115E-2	6.247246540964125E-2	1.5378010855299424E-2	3.5240403091643067E-4	4.499041234874886E-2	3.941796519403268E-3	2.2441656595554835E-1	-1.4325916621581594E3	1.6948697573068012E0	1.5078743452304E0	1.6948697573068012E0	1.5078743452304E0	495	8.896697452590442E-1	237	-6.415166307061932E3	-1.5020491164411917E3
4	-4.640187662340058E3	142	475	142	475	-4.640187662340058E3	-1.1669139910698516E3	467	177	1.29848881993538E-1	1.947251342897804E-2	8.13328494726328E-2	9.240968269408381E-2	9.108846986293605E-2	7.060477841655972E-2	4.5893639180493606E-2	5.115396465067454E-3	3.2839255971422975E-2	1.835217880299512E-1	2.2238011721451803E-2	4.7510202715366545E-2	3.725729372414541E-2	1.1260628748446123E-2	1.0127208666208459E-2	5.8710562635155186E-2	1.445199358795944E-2	3.3118332683581344E-4	4.228122589468088E-2	3.704433464086514E-3	2.2123551757012985E-2	-1.1669139910698516E3	1.0158096697679055E0	1.05777620401992E0	1.0158096697679055E0	1.05777620401992E0	467	1.041313383304968E0	177	-5.878714783908403E3	-1.238527121568345E3
5	-4.5836650382687285E3	142	467	142	467	-4.5836650382687285E3	-1.1645983065793487E3	469	184	5.600215781437562E-2	1.9744582172980873E-2	8.246922697638435E-2	9.370082502124046E-2	9.236115228676064E-2	7.159126398014419E-2	4.653486224679663E-2	5.186868465659648E-3	3.329808400914493E-2	1.8608594301428716E-1	2.2548719835237048E-2	4.817401230662628E-2	3.777785030999365E-2	1.1417961551499307E-2	7.195773238516726E-2	5.953086295715038E-2	1.4653915941648091E-2	3.3581059963732094E-4	4.2871976547698636E-2	3.756191577567449E-3	1.5222242336944527E-2	-1.1645983065793487E3	1.016165275685642E0	9.524916249257781E-1	1.016165275685642E0	9.524916249257781E-1	469	9.373392771004686E-1	184	-5.807676844929317E3	-1.2240118066605885E3
6	-4.5552935824747055E3	139	465	139	465	-4.5552935824747055E3	-1.1347210524483432E3	467	183	6.748581013206602E-2	2.0160641535733187E-2	5.527658635515454E-2	7.443638945395506E-2	9.430739363169448E-2	7.309984063217241E-2	4.751544846343805E-2	5.2961665591617505E-3	3.399974381092469E-2	1.9000716039885332E-1	2.302386820370277E-2	4.088858409855462E-2	3.85739080937657E-2	3.8752813728093166E-2	7.347403128777169E-2	6.078530190597458E-2	1.4962704391821085E-2	3.428868265671452E-4	4.37753781535719E-2	3.835342337023727E-3	6.643065311798035E-2	-1.1347210524483432E3	1.3603689673391623E0	9.010382431942162E-1	1.3603689673391623E0	9.010382431942162E-1	467	6.623484251898349E-1	183	-5.740507464034349E3	-1.1852138815596436E3
7	-4.487146104434451E3	140	460	140	460	-4.487146104434451E3	-1.1417258442192488E3	459	171	7.542735867019641E-2	2.2533091581195375E-2	6.178138629313488E-2	6.384196071637288E-2	1.054052339416059E-1	8.170203317270702E-2	2.006871835216209E-2	5.9194051883387205E-3	3.800074217235891E-2	2.1236669174250744E-1	2.0864711471803042E-2	4.570024264779099E-2	4.311318179934228E-2	4.331314056729853E-2	2.2249061867768403E-2	6.793835266652012E-2	1.6178028361470316E-2	3.8323682564012985E-4	4.892674685910101E-2	4.286675102685347E-3	5.886068186108991E-2	-1.1417258442192488E3	8.202261401691754E-1	9.323295025671311E-1	8.202261401691754E-1	9.323295025671311E-1	459	1.1366737255835737E0	171	-5.684954126087317E3	-1.1978080216528651E3
8	-4.460427278700582E3	145	452	145	452	-4.460427278700582E3	-1.1600419109107327E3	470	195	8.111086327153601E-2	2.4230975902507737E-2	6.643665726463338E-2	7.408065690739281E-2	3.256872874626793E-2	8.785833891723471E-2	2.15809104149417E-2	6.365436538478122E-3	4.086412486000246E-2	2.2836867154094262E-1	2.24368821767872E-2	4.914378811922596E-2	4.636179041370932E-2	4.657681621566747E-2	2.392554435012419E-2	7.305755539077208E-2	1.7397054193132516E-2	4.121139903762338E-4	5.261341169537287E-2	4.609679090894559E-3	4.048463020330461E-2	-1.1600419109107327E3	1.1609555336742783E0	9.713207151184239E-1	1.1609555336742783E0	9.713207151184239E-1	470	8.366562602482422E-1	195	-5.66347404904521E3	-1.2030467703446286E3
9	-4.29163466508458E3	142	458	142	458	-4.29163466508458E3	-1.1439064060340293E3	460	171	4.726776280269367E-2	1.4120722863018204E-2	3.871629557776592E-2	4.317087474761459E-2	3.6787467784758165E-2	5.1199888112100446E-2	1.5010860978784825E-2	1.2210745101138667E-2	4.323770754799761E-2	1.3308298990514641E-1	1.3075205736794757E-2	2.8638789261420456E-2	3.976960329555127E-2	2.7142873496692532E-2	2.9369672061523196E-2	4.257465720214464E-2	1.0138220675986435E-2	3.4113861939468404E-1	3.0660729820269104E-2	2.6863136339149757E-3	3.0956235924598393E-2	-1.1439064060340293E3	7.444173562581985E-1	9.054250511799412E-1	7.444173562581985E-1	9.054250511799412E-1	460	1.2162868632336103E0	171	-5.509321932601338E3	-1.2176872675167576E3
