iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	f:pi[A]	f:pi[C]	f:pi[D]	f:pi[E]	f:pi[F]	f:pi[G]	f:pi[H]	f:pi[I]	f:pi[K]	f:pi[L]	f:pi[M]	f:pi[N]	f:pi[P]	f:pi[Q]	f:pi[R]	f:pi[S]	f:pi[T]	f:pi[V]	f:pi[W]	f:pi[Y]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
0	-1.4952893281462224E5	140	13369	1.5219541708220982E1	5.386118450923497E-2	140	13369	-1.4952893281462224E5	-1.491676077932661E3	603	672	4.4368812726413846E-2	7.889022960911067E-2	7.192947267713123E-2	9.624407400572738E-3	7.107125928392259E-3	2.319960052486351E-2	4.2936059928811374E-2	3.793548400872676E-2	7.847066873631449E-2	1.3351657770371292E-2	1.1582462137308966E-1	1.356646175852495E-1	1.3135830391914852E-1	5.1747923392321205E-2	2.4026226469491645E-2	4.009596990012697E-2	1.2973641401204912E-2	4.721519642147319E-2	1.4768211270926175E-2	1.8511768956259923E-2	5.847632794224937E-2	-1.491676077932661E3	6.049413907934371E-1	6.406646315493334E-1	6.049413907934371E-1	6.406646315493334E-1	603	1.0590523996201382E0	672	-1.5059905321222867E5	-1.0701203976064298E3
1	-2.2918727010048282E4	573	2838	1.4003519518990107E1	9.125559816366956E-1	573	2838	-2.2918727010048282E4	-5.871749655486936E3	1460	2637	1.4622969014942028E-1	2.862605221567888E-2	4.4398347627571444E-2	5.940649494235135E-3	4.3868616835002604E-3	1.1246118657444557E-1	2.6502211729458162E-2	2.3415614542314226E-2	4.8435890038584443E-2	1.2878648063222847E-1	1.2516046611890652E-2	8.373876003996412E-2	8.108069507681448E-2	1.1447237689343817E-2	1.4830148411617589E-2	9.33751385342188E-2	8.414347476133958E-2	2.914350162740884E-2	9.115653895964995E-3	1.1426358664000328E-2	2.484438532613767E-1	-5.871749655486936E3	3.813017590468828E1	2.770499718213506E1	3.813017590468828E1	2.770499718213506E1	1460	7.265898078043905E-1	2637	-2.8292854324609893E4	-5.374127314561609E3
2	-1.6777027998243477E4	430	2110	1.4661762437197464E1	3.5624682077371506E-1	430	2110	-1.6777027998243477E4	-3.763761498448921E3	959	1716	1.4554353618297194E-1	2.849173011425423E-2	4.419001714217356E-2	5.912774168714144E-3	3.3581658172512456E-2	1.1193348464769805E-1	2.6377855330431122E-2	2.8841534250366414E-2	4.8208614182125534E-2	1.281821754844816E-1	1.2457317532876494E-2	8.33458324321153E-2	8.070023991430611E-2	1.139352378529742E-2	1.476056086653525E-2	9.293699412177117E-2	5.3689776955191885E-2	2.900675149672466E-2	9.072880488792378E-3	1.1372742730660431E-2	5.487195462755738E-1	-3.763761498448921E3	1.1096180196283736E1	1.4399595298886446E1	1.1096180196283736E1	1.4399595298886446E1	959	1.2977074131969368E0	1716	-2.0484792713216924E4	-3.707764714973448E3
3	-1.3406262838072373E4	244	1841	9.431427351926484E0	3.0142139194681828E-2	244	1841	-1.3406262838072373E4	-2.2206122094330713E3	453	728	1.2469259939972492E-1	2.4409932467735623E-2	3.7859243010619485E-2	5.06569511842583E-3	2.877066450013534E-2	9.589760924211777E-2	2.2598896756269426E-2	2.470962277454367E-2	4.13021256283793E-2	1.0981847134576972E-1	1.7947124094757433E-2	7.140549671700398E-2	6.913891850508415E-2	7.46622278334055E-2	1.264592541390699E-2	6.732395532981596E-2	4.5998043096314306E-2	1.0582849029646434E-1	1.0181503757751235E-2	9.74345471177501E-3	1.5739644327641603E-13	-2.2206122094330713E3	1.2253004766434756E1	1.3351838496066017E1	1.2253004766434756E1	1.3351838496066017E1	453	1.089678715594835E0	728	-1.5541439424305572E4	-2.1351765862331986E3
4	-1.2096723452749937E4	179	1667	2.550323817375343E0	5.194757215173218E-2	179	1667	-1.2096723452749937E4	-1.5893736519813413E3	325	452	1.279699423454083E-1	2.5051507993170675E-2	5.8522791979364365E-2	5.198838707069249E-3	2.9526854801693442E-2	9.841812252574932E-2	2.319287214230625E-2	2.5359075174128713E-2	4.23876850819598E-2	1.1270487193492597E-1	2.2822852513512158E-2	7.328227450554214E-2	7.095612295767907E-2	7.66246035227149E-2	1.2978303074220628E-2	6.909345641598998E-2	4.72070271321165E-2	5.8254143472382294E-2	1.0449108087739951E-2	9.999545632326402E-3	5.814022192296202E-8	-1.5893736519813413E3	1.2091066424347625E1	1.2265994576605069E1	1.2091066424347625E1	1.2265994576605069E1	325	1.014467553656408E0	452	-1.3424233534101357E4	-1.3275100813514198E3
5	-9.985288512336096E3	108	1407	2.569483016024302E0	4.840051420858214E-2	108	1407	-9.985288512336096E3	-9.863023027933762E2	219	250	1.179339870419519E-1	2.308686059319736E-2	9.009296892002686E-2	4.791123333148101E-3	2.7211231385675903E-2	9.069974850278911E-2	2.1373986989176256E-2	2.3370307028108852E-2	3.9063459837321346E-2	9.573643263565508E-2	1.8936973714132742E-2	6.753516219155717E-2	6.539143748968274E-2	7.061537133893073E-2	6.44506673301482E-2	6.367484929901124E-2	4.350484827961525E-2	5.368560206793317E-2	9.629643924456255E-3	9.215338097481785E-3	1.4426290808809122E-4	-9.863023027933762E2	8.639012146231348E0	8.733640586929017E0	8.639012146231348E0	8.733640586929017E0	219	1.0109536182026262E0	250	-1.0645516804619123E4	-6.602282922830278E2
6	-8.808533516978448E3	96	1223	2.537610097797372E0	4.3896648417445526E-2	96	1223	-8.808533516978448E3	-8.998522888514942E2	213	216	1.1740931109357573E-1	2.298414957001746E-2	8.969215474342038E-2	4.4024279949470016E-2	2.7090171469091515E-2	9.029623482741195E-2	2.127889636114435E-2	2.32663349814464E-2	3.888967059851854E-2	9.531051128043629E-2	1.8852725102752352E-2	4.234647468850525E-2	8.501353315740917E-2	3.4668203497598325E-2	6.416393306589498E-2	6.33915665678696E-2	4.3311299769108705E-2	5.344676045080784E-2	1.5389448801429182E-2	9.174340024091938E-3	3.174393755493544E-2	-8.998522888514942E2	7.234751484800238E0	7.608275841594805E0	7.234751484800238E0	7.608275841594805E0	213	1.051629189693567E0	216	-9.385768128589836E3	-5.77234611611387E2
7	-8.042186466642993E3	84	1103	2.687575121243283E0	3.519282432317324E-2	84	1103	-8.042186466642993E3	-7.911009623758755E2	210	183	1.1686731641438099E-1	2.2878048216924286E-2	8.927811031897348E-2	4.382105138722272E-2	2.7894248107419903E-2	8.987940179797044E-2	2.118066694050083E-2	2.3158930980461703E-2	3.871014484929381E-2	9.48705309287574E-2	2.245284663993233E-2	4.215099135119538E-2	8.462108657713635E-2	3.4508165237788054E-2	6.386773415292968E-2	6.309893311771485E-2	4.311136252558671E-2	5.320003504619792E-2	1.5318406741064251E-2	9.13198866854895E-3	2.982894222968633E-2	-7.911009623758755E2	7.431279230968833E0	7.295416369781402E0	7.431279230968833E0	7.295416369781402E0	210	9.817174328988687E-1	183	-8.470641513241851E3	-4.284550465988585E2
8	-7.581884029652581E3	79	1030	2.2669246928588134E0	3.8169136966445534E-2	79	1030	-7.581884029652581E3	-7.311333605588088E2	207	172	8.324155993491084E-2	2.4107404351917543E-2	9.407548602168062E-2	4.617578365520023E-2	2.4221624773576315E-2	9.470908800905727E-2	2.2318813979953753E-2	2.4403380402491272E-2	4.079024161304453E-2	9.996841638303568E-2	2.3659354489865277E-2	3.53052292516403E-2	8.91682162512683E-2	3.636246785312449E-2	6.729967861185163E-2	6.648956591139905E-2	4.5427959531862E-2	5.6058748728666605E-2	1.6594282483720378E-2	9.622697761733948E-3	2.5125339054008447E-2	-7.311333605588088E2	6.02911969767333E0	6.4026921044133465E0	6.02911969767333E0	6.4026921044133465E0	207	1.0619613518179412E0	172	-8.01262354578123E3	-4.3073951612864835E2
9	-7.3234001323556895E3	73	1002	2.2329685887105577E0	3.7538987122747405E-2	73	1002	-7.3234001323556895E3	-6.873783370443139E2	204	167	8.843929371744773E-2	2.5612708554616503E-2	9.994970717017682E-2	4.905907213306417E-2	2.6607017109384377E-2	5.645890722610346E-2	2.3712435789786147E-2	2.592716581479385E-2	3.962667573308067E-2	1.0621060136163432E-1	2.513668175524986E-2	3.750974323389809E-2	9.47360197655246E-2	3.863299747467872E-2	5.712233495882982E-2	6.958093075111083E-2	4.826455269656374E-2	5.9559145072771345E-2	1.7630455553158734E-2	1.0223554128126118E-2	8.643879428345885E-3	-6.873783370443139E2	6.726422795752845E0	6.321535288381766E0	6.726422795752845E0	6.321535288381766E0	204	9.39806414246406E-1	167	-7.628497745292158E3	-3.050976129364676E2
