iter	likelihood	#indels	#substs	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	f:pi[A]	f:pi[C]	f:pi[D]	f:pi[E]	f:pi[F]	f:pi[G]	f:pi[H]	f:pi[I]	f:pi[K]	f:pi[L]	f:pi[M]	f:pi[N]	f:pi[P]	f:pi[Q]	f:pi[R]	f:pi[S]	f:pi[T]	f:pi[V]	f:pi[W]	f:pi[Y]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
0	-2.3224681571652927E4	7	3272	7	3272	-2.3224681571652927E4	-2.77689449407246E2	593	35	5.524175504987783E-2	8.123560164258045E-3	1.3185024920527264E-2	1.1571093678939832E-2	3.4839777373823363E-2	4.7428614257147915E-2	2.2210836134625794E-2	1.2050704332187573E-2	9.094488322342059E-3	3.996523498799527E-2	2.9598009852746885E-2	8.41254518845129E-2	1.76494141054323E-1	7.056438436892895E-2	2.783288464074396E-3	1.896633576986378E-2	1.1908618848592708E-2	1.8143509833673901E-1	2.169538212284088E-4	1.7019662837726504E-1	4.2697856248671784E-2	-2.77689449407246E2	6.865884119791466E-1	1.0307406080200983E0	6.865884119791466E-1	1.0307406080200983E0	593	1.501249642488001E0	35	-2.3529897122373703E4	-3.0521555072077444E2
1	-5.777019026654895E3	251	480	251	480	-5.777019026654895E3	-1.6339205388707521E3	843	522	5.440362294868713E-2	5.640766474480916E-3	9.155301989900189E-3	8.03463456630941E-3	2.419173911621922E-2	4.163334452154822E-2	3.2460278380640875E-2	8.367662406190109E-3	8.686820972991359E-2	2.7750709431180187E-2	2.0552006547978723E-2	5.8414293615816223E-2	1.2255245405601788E-1	4.899787846613355E-2	1.5083913897383466E-1	1.3169677923369833E-2	8.269002333984497E-3	1.2598331264842666E-1	3.453632344557792E-2	1.1817964242379041E-1	2.7048969540068562E-2	-1.6339205388707521E3	1.7707156952370828E0	1.1962622325792687E0	1.7707156952370828E0	1.1962622325792687E0	843	6.755811990581018E-1	522	-7.447534326311759E3	-1.670515299656864E3
2	-4.663350264661364E3	119	390	119	390	-4.663350264661364E3	-8.549148813524172E2	659	167	6.259075461815346E-2	6.1141934620380246E-3	9.923702359045574E-3	8.708977823747686E-3	5.9056886443131326E-2	4.512761236049073E-2	3.518465491325139E-2	9.069956540113106E-3	9.415901941561268E-2	3.0079813964759606E-2	2.2276927193476445E-2	6.331697894801787E-2	1.3283822628288722E-1	3.423102196635468E-2	1.6349899991527916E-1	1.4275003055081139E-2	8.96301597251954E-3	3.50509067198888E-2	3.7434941504685314E-2	1.2809840654146645E-1	9.961782908030037E-2	-8.549148813524172E2	8.576040835380242E-1	7.309992588915658E-1	8.576040835380242E-1	7.309992588915658E-1	659	8.523738085246128E-1	167	-5.564966768279686E3	-9.01616503618322E2
3	-4.523797223181088E3	100	384	100	384	-4.523797223181088E3	-7.275966633146357E2	649	139	6.552548415648708E-2	6.400873248303535E-3	1.038900083036765E-2	2.0747129816020584E-2	6.182592142511897E-2	4.724353727299195E-2	2.880739650304727E-2	9.49522492890406E-3	9.857390875933983E-2	3.149018390019983E-2	2.332143858588329E-2	4.601915056833925E-2	1.3906669035670374E-1	3.5836032033813935E-2	1.711650737222917E-1	1.4944323522315109E-2	1.3689060929125132E-2	3.669435920618299E-2	3.919017563262995E-2	9.957503460193425E-2	3.597273456847972E-1	-7.275966633146357E2	7.234933448739288E-1	6.536031948138732E-1	7.234933448739288E-1	6.536031948138732E-1	649	9.033990422230709E-1	139	-5.293258031255405E3	-7.694608080743164E2
4	-4.31158870092943E3	94	385	94	385	-4.31158870092943E3	-6.826383338182864E2	641	127	4.9572711093193236E-2	5.1189346866318325E-3	8.451886110721354E-2	1.5696053003230532E-2	1.1368923417541183E-2	3.574166989230368E-2	2.0570743460873522E-2	2.7186401238700253E-2	7.457519716425885E-2	1.4582562229400953E-1	1.7643622968655102E-2	3.4815371229158495E-2	1.0520964404132423E-1	2.711142520513222E-2	1.2949338502583585E-1	1.130599250034837E-2	7.15030948367343E-2	2.776078484721701E-2	2.9648972141711836E-2	7.533258984592664E-2	3.29931032784065E-1	-6.826383338182864E2	1.106527462211332E0	5.94323091949231E-1	1.106527462211332E0	5.94323091949231E-1	641	5.37106499608704E-1	127	-5.026987992793998E3	-7.153992918645683E2
5	-4.279820930761856E3	95	380	95	380	-4.279820930761856E3	-6.922588247955018E2	646	139	4.7624189088500794E-2	4.917728082080097E-3	8.119673373013E-2	1.5079098554116026E-2	4.0652043431059916E-2	4.316386703914866E-2	1.9762182754741415E-2	2.6117803216243518E-2	7.16439188566097E-2	1.400937503099723E-1	1.695011666571574E-2	3.344690629259249E-2	1.0107423764535392E-1	2.6045774216396464E-2	1.244034735680863E-1	1.0861595276835584E-2	6.944185070381739E-2	2.6669609905409918E-2	2.84835794617345E-2	7.237154120145552E-2	2.6111788137926056E-1	-6.922588247955018E2	7.053591604637495E-1	6.437119843138073E-1	7.053591604637495E-1	6.437119843138073E-1	646	9.126017217818349E-1	139	-5.012322006961212E3	-7.32501076199355E2
6	-4.226958373472683E3	95	382	95	382	-4.226958373472683E3	-6.845551049817192E2	640	128	4.0463176359841355E-2	4.178273740371113E-3	5.359081821783753E-2	1.281172941357127E-2	4.220057151707595E-2	3.667353077933105E-2	1.6790641507292276E-2	2.2190598893066873E-2	6.08711786864867E-2	1.1902854902515751E-1	1.440141182646083E-2	2.8417661148902124E-2	8.587620664113271E-2	2.2129400536105494E-2	1.0569754125173705E-1	1.486240298053804E-1	5.900022458252822E-2	5.8772656856357394E-2	6.79240713738775E-3	6.148939207397651E-2	4.5406299164997627E-1	-6.845551049817192E2	5.520804186255907E-1	6.0421130322303E-1	5.520804186255907E-1	6.0421130322303E-1	640	1.0944262517537202E0	128	-4.954546589719476E3	-7.275882162467935E2
7	-4.2253686155803525E3	100	379	100	379	-4.2253686155803525E3	-7.054119859932508E2	646	140	3.758222000980565E-2	3.88078290185018E-3	4.977518084238129E-2	1.1899541183939363E-2	3.919591356817803E-2	6.293259642273338E-2	1.5595156880939123E-2	2.061064021104098E-2	5.6537183569261074E-2	1.1055378048252035E-1	1.3376039065757368E-2	6.872359879060568E-2	7.97618670094746E-2	2.0553799144113673E-2	9.817193327809881E-2	1.3804207898105847E-1	5.479944038919274E-2	5.4588075362482405E-2	6.308791409831907E-3	5.711138049673482E-2	5.810600767758424E-1	-7.054119859932508E2	8.066877958888206E-1	7.334825743043181E-1	8.066877958888206E-1	7.334825743043181E-1	646	9.092521022908945E-1	140	-4.9799604797402935E3	-7.545918641599407E2
8	-4.248744190732151E3	92	384	92	384	-4.248744190732151E3	-6.661523922033957E2	640	129	3.7471964508763576E-2	3.8693977930629037E-3	4.9629154676236645E-2	1.1864631328293164E-2	3.9080923951062975E-2	6.27479701566784E-2	1.5549405144205927E-2	2.0550174478503803E-2	5.930503404517746E-2	1.1022944726175755E-1	1.333679758697382E-2	6.852198337735718E-2	7.952786846950315E-2	2.049350016703459E-2	9.788392486111276E-2	1.376371029424164E-1	5.463867448033054E-2	5.442792953824843E-2	6.290283217455846E-3	5.694383201582473E-2	6.282281009434104E-1	-6.661523922033957E2	1.3989129328249825E0	7.36136807190976E-1	1.3989129328249825E0	7.36136807190976E-1	640	5.262206030967288E-1	129	-4.956262499058851E3	-7.075183083267003E2
9	-4.232379732623123E3	92	385	92	385	-4.232379732623123E3	-6.693940393131556E2	638	123	3.7471964508763576E-2	3.8693977930629037E-3	4.9629154676236645E-2	1.1864631328293164E-2	3.9080923951062975E-2	6.27479701566784E-2	1.5549405144205927E-2	2.0550174478503803E-2	5.930503404517746E-2	1.1022944726175755E-1	1.333679758697382E-2	6.852198337735718E-2	7.952786846950315E-2	2.049350016703459E-2	9.788392486111276E-2	1.376371029424164E-1	5.463867448033054E-2	5.442792953824843E-2	6.290283217455846E-3	5.694383201582473E-2	8.03921645963799E-1	-6.693940393131556E2	1.3717210625171488E0	6.748111415989868E-1	1.3717210625171488E0	6.748111415989868E-1	638	4.919448713287878E-1	123	-4.937932337890881E3	-7.055526052677576E2
