filename,n_sequences,alignment_length,best_model,log_likelihood,aic_score,bic_score,method,freq_A,freq_R,freq_N,freq_D,freq_C,freq_Q,freq_E,freq_G,freq_H,freq_I,freq_L,freq_K,freq_M,freq_F,freq_P,freq_S,freq_T,freq_W,freq_Y,freq_V,gamma_shape,prop_invariant,insertion_rate,deletion_rate,insertion_events,deletion_events,mean_insertion_length,mean_deletion_length,total_gaps,indel_to_substitution_ratio,rf_length_distance
57529_NT_AL_AA.fasta,172,2337,LG+I+G4+F,-82830.6194,166385.2387,168469.1364,ModelTest-NG,0.104,0.0407,0.0143,0.0312,0.0065,0.0391,0.0468,0.0712,0.0114,0.0254,0.0858,0.0256,0.0927,0.0122,0.092,0.1544,0.0982,0.0019,0.007,0.0397,2.0455,0.0616,0.0421378531410773,0.3792406782696957,42,62,17.852859025032938,22.316073781291173,169379,2.0795545594133735e-05,334
265_NT_AL_AA.fasta,167,257,LG+G4+F,-4652.3177,10006.6355,11252.3612,ModelTest-NG,0.0464,0.0112,0.0167,0.0121,0.005,0.1287,0.0266,0.0415,0.072,0.0413,0.0895,0.0157,0.0565,0.0248,0.2405,0.034,0.0365,0.0207,0.0327,0.0475,0.6374,0.0,0.0258510216920245,0.2326591952282206,9,10,5.575376884422111,6.969221105527638,11095,6.397844936442462e-05,318
158798_NT_AL_AA.fasta,145,153,LG+G4,-8865.8317,18307.6431,19180.4295,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.3813,0.0215,0.0092765382014874,0.0834888438133874,3,4,3.3806981519507198,4.225872689938399,2058,1.3189181856207771e-05,274
340527_NT_AL_AA.fasta,161,1182,LG+I+G4+F,-38287.6814,77255.3628,78980.8503,ModelTest-NG,0.0695,0.0625,0.0253,0.0395,0.0081,0.0431,0.0715,0.056,0.0229,0.0271,0.0765,0.0511,0.0149,0.0241,0.1072,0.1525,0.0771,0.0081,0.0136,0.0494,1.0982,0.1146,0.008814410778657,0.0793296970079137,22,39,3.618010245349151,4.522512806686438,16774,2.9843429626502135e-05,308
11238_NT_AL_AA.fasta,166,319,LG+G4,-8880.539,18419.4653,19663.5911,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.4791,0.1205,0.0058843524568493,0.052959172111644,3,4,4.524137931034483,5.655172413793103,3116,1.6084041414108922e-05,318
3052_NT_AL_AA.fasta,184,286,LG+I+G4,-8334.7964,17403.5928,18745.3418,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.8177,0.3189,0.0061055792034052,0.0549502128306476,8,12,1.756937799043062,2.196172248803828,3213,3.877389198756909e-05,350
6247_NT_AL_AA.fasta,172,205,LG+I+G4,-3095.5948,6877.1896,8016.9821,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,0.5051,0.3507,0.0026063528077141,0.0234571752694271,0,2,21.005714285714287,26.257142857142856,919,1.1888556669777506e-05,330
8243_NT_AL_AA.fasta,183,1237,LG+G4+F,-4897.1395,10555.4751,12521.4093,ModelTest-NG,0.0704,0.0626,0.0453,0.0533,0.0088,0.0683,0.1351,0.0422,0.0155,0.0594,0.0845,0.127,0.0244,0.0298,0.0215,0.0492,0.0322,0.0017,0.0243,0.0445,0.146,0.6173,0.0014370215266089,0.0129331937394807,2,7,4.395945945945946,5.4949324324324325,3253,0.0001042306044216,350
8225_NT_AL_AA.fasta,122,596,LG+I+G4+F,-20869.5087,42263.0173,43413.2604,ModelTest-NG,0.0961,0.0914,0.0146,0.0429,0.0096,0.0398,0.0756,0.0743,0.0276,0.031,0.1289,0.0456,0.0145,0.0258,0.0572,0.0541,0.056,0.0126,0.0115,0.0909,1.0864,0.0959,0.022121520519309,0.1990936846737815,17,18,7.798787878787879,9.748484848484848,16085,4.6959443141506246e-05,232
51634_NT_AL_AA.fasta,181,441,LG+I+G4,-14718.1267,30158.2534,31634.3986,ModelTest-NG,0.0791,0.0559,0.042,0.0531,0.0129,0.0408,0.0716,0.0573,0.0224,0.0622,0.0991,0.0646,0.023,0.0423,0.044,0.0612,0.0533,0.0121,0.0342,0.0691,1.1034,0.1597,0.0305283070871074,0.2747547637839666,23,24,4.890717511289513,6.113396889111892,24368,5.511489697032239e-05,348
